StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"';'がありません",,,,,,,,,1386233359037,1386233422787,0:00:11,true,10,4,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"<identifier>がありません",,,,,,,,,1386233359037,1386233375077,0:00:03,true,10,5,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"文ではありません",,,,,,,,,1386233359037,1386233375077,0:00:03,true,10,5,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"';'がありません",,,,,,,,,1386233359037,1386233375077,0:00:03,true,10,5,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"構文解析中にファイルの終わりに移りました",,,,,,,,,1386233359037,1386233375077,0:00:03,true,10,5,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386233359037,1386233375077,0:00:03,false,10,5,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233593387\ProjectBase\CopyOfJanken.java,"型の開始が不正です",,,,,,,,,1386233593387,1386233632157,0:00:38,true,2,1,38,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233977858\ProjectBase\CopyOfJanken.java,"';'がありません",,,,,,,,,1386233977858,1386234019728,0:00:20,true,3,2,20,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233977858\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386233977858,1386234019728,0:00:20,false,3,2,20,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208499053\ProjectBase\CopyOfWinningRate.java,"シンボルを見つけられません","syouritu",変数,,,,,,,1386208499053,1386208549238,0:00:50,true,1,1,50,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208549238\ProjectBase\CopyOfWinningRate.java,"クラスAのメソッドBは指定された型に適用できません。",,,"CopyOfWinningRate",クラス,"getwinningrate",メソッド,,,1386208549238,1386208573590,0:00:24,true,1,1,24,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208602724\ProjectBase\CopyOfWinningRate.java,"クラスAのメソッドBは指定された型に適用できません。",,,"CopyOfWinningRate",クラス,"getwinningrate",メソッド,,,1386208602724,1386208669554,0:01:06,true,1,1,66,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208669554\ProjectBase\CopyOfWinningRate.java,"シンボルを見つけられません","getwinningrate",変数,,,,,,,1386208669554,1386208684883,0:00:15,true,1,1,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208684883\ProjectBase\CopyOfWinningRate.java,"';'がありません",,,,,,,,,1386208684883,1386208697151,0:00:12,true,1,1,12,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208738885\ProjectBase\CopyOfWinningRate.java,"クラスAのメソッドBは指定された型に適用できません。",,,"CopyOfWinningRate",クラス,"getwinningrate",メソッド,,,1386208738885,1386208780002,0:00:25,true,2,1,25,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208738885\ProjectBase\CopyOfWinningRate.java,"シンボルを見つけられません","getwinningrate",変数,,,,,,,1386208738885,1386208754862,0:00:15,true,2,1,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205106416\ProjectBase\HowOld.java,"クラスAのメソッドBは指定された型に適用できません。",,,"HowOld",クラス,"year",メソッド,,,1386205106416,1386205127283,0:00:20,true,2,1,20,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205106416\ProjectBase\HowOld.java,"パッケージAは存在しません",,,"ystem",パッケージ,,,,,1386205106416,1386205142444,0:00:15,true,2,1,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205250070\ProjectBase\HowOld.java,"シンボルを見つけられません","svanner",変数,,,,,,,1386205250070,1386205258416,0:00:08,true,1,1,8,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205258416\ProjectBase\HowOld.java,"シンボルを見つけられません","nextln()",メソッド,,,,,,,1386205258416,1386205286736,0:00:28,true,1,1,28,false
